Date,Account name,Campaign name,Ad group name,Network,Device,Daily budget,Cost,Impressions,Clicks,CTR,CPC,Conversions,Conversion value,Cost per conversion,Search impression share,ROAS
2026-01-30,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,122.09,908,154,16.948,0.79,21,1708.41,5.71,0.92,13.99
2026-01-30,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,87.79,568,99,17.472,0.88,13,877.29,6.84,0.88,9.99
2026-01-30,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,196.38,1983,88,4.423,2.24,2,180.48,78.66,0.42,0.92
2026-01-30,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,147.15,1336,65,4.873,2.26,2,160.52,68.93,0.38,1.09
2026-01-30,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,272.53,7225,216,2.987,1.26,4,300.22,60.98,0.55,1.1
2026-01-30,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,89.34,24396,176,0.72,0.51,3,213.77,30.41,0.65,2.39
2026-01-31,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,112.66,717,133,18.554,0.85,21,1461.08,5.41,0.92,12.97
2026-01-31,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,70.29,473,72,15.183,0.98,8,555.1,9.22,0.88,7.9
2026-01-31,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,193.4,2094,99,4.721,1.96,3,196.57,68.22,0.42,1.02
2026-01-31,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,132.28,1042,54,5.175,2.45,2,127.25,68.14,0.38,0.96
2026-01-31,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,264.66,7272,218,2.993,1.22,4,246.48,61.48,0.55,0.93
2026-01-31,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,76.34,17627,131,0.742,0.58,2,126.16,36.09,0.65,1.65
2026-02-01,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,103.9,655,114,17.482,0.91,15,1090.24,6.92,0.92,10.49
2026-02-01,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,76.54,476,80,16.853,0.95,9,596.81,8.79,0.88,7.8
2026-02-01,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,184.89,1804,87,4.835,2.12,3,192.51,68.93,0.42,1.04
2026-02-01,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,118.3,885,48,5.396,2.48,1,108.14,82.9,0.38,0.91
2026-02-01,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,281.07,9019,253,2.81,1.11,5,352.4,52.4,0.55,1.25
2026-02-01,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,76.67,17724,131,0.736,0.59,2,123.49,36.41,0.65,1.61
2026-02-02,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,112.52,674,124,18.408,0.91,19,1385.41,5.89,0.92,12.31
2026-02-02,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,80.51,498,84,16.82,0.96,9,685.18,9.06,0.88,8.51
2026-02-02,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,183.06,1694,83,4.881,2.21,2,147.58,79.58,0.42,0.81
2026-02-02,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,136.15,960,54,5.605,2.53,2,150.38,72.3,0.38,1.1
2026-02-02,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,290.52,9205,233,2.536,1.24,6,340.07,51.69,0.55,1.17
2026-02-02,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,96.42,24507,185,0.756,0.52,3,168.49,32.56,0.65,1.75
2026-02-03,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,109.89,657,125,19.023,0.88,15,1190.05,7.2,0.92,10.83
2026-02-03,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,84.12,645,95,14.745,0.88,12,972.46,6.77,0.88,11.56
2026-02-03,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,182.37,2152,92,4.278,1.98,2,160.16,81.32,0.42,0.88
2026-02-03,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,147.13,1036,58,5.637,2.52,2,150.05,81.29,0.38,1.02
2026-02-03,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,281.09,9292,239,2.571,1.18,6,433.58,48.46,0.55,1.54
2026-02-03,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,98.08,24402,182,0.746,0.54,3,224.04,29.94,0.65,2.28
2026-02-04,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,113.8,795,132,16.557,0.86,19,1160.27,6.03,0.92,10.2
2026-02-04,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,75.47,543,83,15.302,0.91,11,881.32,6.75,0.88,11.68
2026-02-04,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,218.94,2612,111,4.243,1.98,3,224.39,70.49,0.42,1.02
2026-02-04,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,136.26,1084,56,5.137,2.45,2,144.04,63.3,0.38,1.06
2026-02-04,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,291.29,9324,246,2.64,1.18,5,290.07,58.58,0.55,1.0
2026-02-04,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,98.72,25750,190,0.738,0.52,3,210.25,32.42,0.65,2.13
2026-02-05,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,124.91,885,145,16.346,0.86,19,1223.56,6.5,0.92,9.8
2026-02-05,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,76.54,512,79,15.398,0.97,11,828.42,7.09,0.88,10.82
2026-02-05,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,202.16,2053,99,4.82,2.04,3,148.75,80.48,0.42,0.74
2026-02-05,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,149.55,1154,62,5.386,2.41,2,162.45,78.32,0.38,1.09
2026-02-05,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,299.5,9570,265,2.765,1.13,6,352.43,49.1,0.55,1.18
2026-02-05,Northwind Apparel,Display-Remarketing,Cart-Abandoners-90d,Display Network,Mobile,90,83.58,18834,153,0.814,0.54,2,175.45,34.38,0.65,2.1
2026-02-06,Northwind Apparel,Brand-Search,Brand-Exact,Search Network,Mobile,120,131.47,837,165,19.711,0.8,22,1627.42,5.98,0.92,12.38
2026-02-06,Northwind Apparel,Brand-Search,Brand-Phrase,Search Network,Desktop,80,87.85,572,98,17.082,0.9,13,910.97,7.02,0.88,10.37
2026-02-06,Northwind Apparel,Non-Brand-Search,Apparel-Generic,Search Network,Mobile,200,208.54,2264,97,4.296,2.14,3,209.96,70.46,0.42,1.01
2026-02-06,Northwind Apparel,Non-Brand-Search,Sustainable-Apparel,Search Network,Mobile,140,137.21,1073,57,5.307,2.41,2,138.53,72.95,0.38,1.01
2026-02-06,Northwind Apparel,PMax-Shopping,All-Products,Search Partners,Mobile,300,286.73,8810,227,2.581,1.26,5,305.17,61.96,0.55,1.06
