Date,Account name,Campaign name,Campaign objective,Ad set name,Ad name,Daily budget,Cost,Impressions,Reach,Frequency,Link clicks,Link CTR,CPM,Cost per link click,Purchases,Purchase conversion value,ROAS
2026-01-30,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,185.02,12919,8448,1.53,232,1.797,14.32,0.8,9,600.69,3.25
2026-01-30,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,129.41,9238,7135,1.29,127,1.374,14.01,1.02,5,293.11,2.26
2026-01-30,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,126.74,8997,5255,1.71,121,1.347,14.09,1.05,4,251.28,1.98
2026-01-30,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,42.48,3294,2456,1.34,74,2.254,12.89,0.57,3,172.7,4.07
2026-01-30,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,98.23,6636,3378,1.96,72,1.083,14.8,1.37,3,189.1,1.93
2026-01-30,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,191.06,11518,4461,2.58,325,2.824,16.59,0.59,15,1006.64,5.27
2026-01-30,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,110.85,7019,3151,2.23,183,2.608,15.79,0.61,8,473.09,4.27
2026-01-30,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,113.47,8098,5640,1.44,58,0.719,14.01,1.95,1,62.65,0.55
2026-01-30,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,112.99,8133,6092,1.33,71,0.872,13.89,1.59,1,75.4,0.67
2026-01-30,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,102.96,8096,4110,1.97,82,1.013,12.72,1.26,2,134.44,1.31
2026-01-30,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,87.83,6712,3260,2.06,68,1.014,13.09,1.29,2,122.01,1.39
2026-01-31,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,149.82,10436,6774,1.54,190,1.816,14.36,0.79,6,437.58,2.92
2026-01-31,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,113.55,7793,5661,1.38,113,1.452,14.57,1.0,5,295.11,2.6
2026-01-31,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Broad-25-54-F,Video-UGC-C,140,117.41,8259,5050,1.64,109,1.319,14.22,1.08,3,250.72,2.14
2026-01-31,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Sustainability,Static-Brand-D,40,34.49,2577,1979,1.3,61,2.351,13.39,0.57,2,133.01,3.86
2026-01-31,Northwind Apparel,Interest-Targeting-Q2,Conversions,Interest-Outdoor-Active,Video-Lifestyle-E,90,73.02,4703,2268,2.07,60,1.284,15.53,1.21,2,119.96,1.64
2026-01-31,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Cart-Abandon-7d,Dynamic-Product-F,300,174.12,10820,4262,2.54,337,3.117,16.09,0.52,12,848.37,4.87
2026-01-31,Northwind Apparel,Retargeting-Cart-Abandoners,Conversions,Site-Visitors-30d,Static-Reminder-G,160,94.85,6076,2701,2.25,138,2.266,15.61,0.69,6,358.66,3.78
2026-01-31,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-H,120,104.62,6719,4656,1.44,59,0.872,15.57,1.79,1,62.78,0.6
2026-01-31,Northwind Apparel,Cold-Broad-Test-2,Conversions,Broad-18-65,Test-Creative-I,110,104.79,6959,4862,1.43,60,0.856,15.06,1.76,1,74.95,0.72
2026-01-31,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Anthem-J,100,92.62,7355,3852,1.91,86,1.174,12.59,1.07,2,116.72,1.26
2026-01-31,Northwind Apparel,Brand-Awareness-Q2,Reach,Top-of-Funnel-Broad,Brand-Story-K,80,63.63,4647,2206,2.11,51,1.091,13.69,1.26,1,79.54,1.25
2026-02-01,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Video-Hero-A,180,170.38,10236,6412,1.6,175,1.711,16.65,0.97,7,482.66,2.83
2026-02-01,Northwind Apparel,Spring-Prospecting-Q2,Conversions,Lookalike-1pct,Static-Carousel-B,120,111.21,7866,5574,1.41,109,1.392,14.14,1.02,4,254.37,2.29
