Date,Advertiser name,Campaign name,Ad group name,Ad name,Daily budget,Cost,Impressions,Clicks,CTR,CPM,CPC,Conversions,Video views,Video views at 75%,Video views at 100%,ROAS
2026-01-30,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,130.21,18975,345,1.82,6.86,0.38,3,12917,3741,2967,1.35
2026-01-30,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,90.88,12106,196,1.619,7.51,0.46,2,8036,2312,1672,1.13
2026-01-30,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,118.69,14625,215,1.473,8.12,0.55,3,8921,2442,1607,1.21
2026-01-30,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,72.35,10914,389,3.561,6.63,0.19,4,6856,3456,2422,2.64
2026-01-30,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,73.37,10404,217,2.089,7.05,0.34,2,6019,2124,1411,1.63
2026-01-30,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,95.03,11406,270,2.363,8.33,0.35,3,6673,1942,1436,1.85
2026-01-31,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,111.74,15016,284,1.89,7.44,0.39,3,8789,2820,1954,1.41
2026-01-31,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-2,100,82.21,11291,169,1.499,7.28,0.49,2,7538,2176,1366,1.07
2026-01-31,Northwind Apparel,TT-Prospecting-Q2,Interest-Fashion,Founder-Story-1,110,102.43,12132,160,1.316,8.44,0.64,2,6772,1654,1245,1.19
2026-01-31,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,UGC-Customer-Review-3,80,68.56,11494,410,3.568,5.96,0.17,3,6995,3404,2295,2.93
2026-01-31,Northwind Apparel,TT-Creator-Tests,Creator-Audience-A,Creator-Demo-Video,70,56.15,7326,158,2.155,7.66,0.36,1,4249,1562,1027,1.4
2026-01-31,Northwind Apparel,TT-Retargeting,Site-Visitors-30d,Dynamic-Product-Tile,90,86.78,9661,258,2.668,8.98,0.34,2,5848,1688,1256,1.81
2026-02-01,Northwind Apparel,TT-Prospecting-Q2,Lookalike-Purchasers,UGC-Customer-Review-1,120,108.44,14281,277,1.937,7.59,0.39,3,8999,2942,2080,1.31
